"행정구역(시군구)별",2012,2013,2014,2015,2016
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",50948272,51141463,51327916,51529338,51696216
"서울특별시",10195318,10143645,10103233,10022181,9930616
"종로구",165207,160070,156993,154986,152737
"중구",133360,130465,128065,125733,125249
"용산구",243232,239740,235951,233342,230241
"성동구",299604,299337,296086,297003,299259
"광진구",371313,368927,363354,360369,357215
"동대문구",363258,364273,363687,360153,355069
"중랑구",419295,416798,418836,413909,411005
"성북구",481857,476589,466706,459275,450355
"강북구",343157,338707,335025,330873,327195
"도봉구",362270,358582,353709,351242,348220
"노원구",597189,590479,582552,574583,567581
"은평구",501480,503660,498644,497920,491476
"서대문구",315113,314110,310376,312141,314194
"마포구",384644,381856,385439,387643,379892
"양천구",495911,492528,486221,484532,477739
"강서구",567431,569070,585160,589074,595485
"구로구",427520,424964,425831,422092,417551
"금천구",243288,241020,238463,236284,235386
"영등포구",391408,386471,382352,378504,370613
"동작구",405491,410815,407470,400641,400997
"관악구",523029,518028,513186,509663,506851
"서초구",435044,441763,449678,446764,447192
"강남구",564197,563599,578114,576495,567115
"송파구",673115,668415,664738,660302,657831
"강동구",487905,483379,476597,458658,444168
"부산광역시",3538484,3527635,3519401,3513777,3498529
"중구",48148,47345,46737,45816,45208
"서구",120828,118783,118115,115963,112973
"동구",98529,96011,94565,92069,89826
"영도구",139765,135816,132102,129385,126362
"부산진구",392731,389765,387378,381572,376526
"동래구",278767,276689,275971,272837,272745
"남구",291175,291770,286989,283101,278779
"북구",312937,309719,306974,310484,310202
"해운대구",428188,425536,423531,422818,419853
"사하구",352726,349110,343371,337781,334603
"금정구",255692,253526,249856,246026,244624
"강서구",65806,69873,79619,94608,108909
"연제구",211536,209290,208012,210718,207268
"수영구",176666,175098,178480,179795,179324
"사상구",250424,246797,242953,237711,232800
"기장군",114566,132507,144748,153093,158527
"대구광역시",2505644,2501588,2493264,2487829,2484557
"중구",75439,76246,78812,80928,79712
"동구",342092,343802,347975,349728,351352
"서구",220211,215399,210770,206028,199507
"남구",168715,166062,163492,160852,156433
"북구",448485,444359,444375,443119,440383
"수성구",459779,461004,456505,451786,447011
"달서구",606557,610358,606433,602641,591891
"달성군",184366,184358,184902,192747,218268
"인천광역시",2843981,2879782,2902608,2925815,2943069
"중구",98648,107774,111929,114493,115249
"동구",76720,75093,73978,72571,71014
"남구",414500,411330,408305,404893,417103
"연수구",292589,300305,310703,319052,328627
"남동구",503597,507021,514656,531395,530982
"부평구",559047,556985,556992,555844,549716
"계양구",342202,343806,339538,334332,330284
"서구",469887,490035,498686,504606,510733
"강화군",66752,66735,67118,67667,68010
"옹진군",20039,20698,20703,20962,21351
"광주광역시",1469216,1472910,1475884,1472199,1469214
"동구",105580,103016,100786,98784,95791
"서구",316545,315276,310317,305028,309579
"남구",218313,216254,219815,221318,219729
"북구",443677,445489,447685,446316,441066
"광산구",385101,392875,397281,400753,403049
"대전광역시",1524583,1532811,1531809,1518775,1514370
"동구",251945,250653,245493,239579,234959
"중구",264125,264913,261165,256186,252490
"서구",496513,498917,496132,490859,491011
"유성구",306312,313968,327461,335312,343222
"대덕구",205688,204360,201558,196839,192688
"울산광역시",1147256,1156480,1166377,1173534,1172304
"중구",233013,234607,238825,244481,242536
"남구",346836,349064,347759,343598,340714
"동구",175479,178468,176668,174963,174514
"북구",184088,185695,188733,191063,195285
"울주군",207840,208646,214392,219429,219255
"세종특별자치시",113117,122153,156125,210884,243048
"세종시",113117,122153,156125,210884,243048
"경기도",12093299,12234630,12357830,12522606,12716780
"수원시",1120258,1148157,1174228,1184624,1194041
"장안구",291757,300908,301196,299016,296479
"권선구",332633,331773,339835,351053,358393
"팔달구",206794,204805,203479,199180,198515
"영통구",289074,310671,329718,335375,340654
"성남시",978615,979534,974608,971424,974580
"수정구",233997,228167,223539,219531,232841
"중원구",253883,256349,251982,250004,237909
"분당구",490735,495018,499087,501889,503830
"의정부시",429147,430976,431112,433937,438457
"안양시",611412,607877,600809,597789,597414
"만안구",253492,250246,247315,247270,252353
"동안구",357920,357631,353494,350519,345061
"부천시",869944,863720,855586,848987,851380
"원미구",446604,444207,442638,442898,-
"소사구",231363,229959,226400,222016,-
"오정구",191977,189554,186548,184073,-
"광명시",355560,353100,348560,344978,339484
"평택시",434305,442034,449555,460532,470832
"동두천시",97175,97557,97595,97974,98277
"안산시",715108,713666,707876,697885,689859
"상록구",381556,382571,381508,379517,375857
"단원구",333552,331095,326368,318368,314002
"고양시",969916,990571,1006154,1027546,1039684
"덕양구",396559,410491,424423,441988,446233
"일산동구",281949,283976,284207,285658,292612
"일산서구",291408,296104,297524,299900,300839
"과천시",71068,70578,70156,68946,63778
"구리시",192341,189680,186820,186721,193763
"남양주시",599539,618305,636256,653454,662154
"오산시",200291,205460,208565,206828,208656
"시흥시",399485,396765,394639,398256,402888
"군포시",286841,286344,288408,287519,284890
"의왕시",154757,159772,158482,157740,156763
"하남시",146269,145096,148896,166713,211101
"용인시",915959,941477,961026,975746,991126
"처인구",210524,212904,218400,221347,226130
"기흥구",375875,393172,402206,409162,417163
"수지구",329560,335401,340420,345237,347833
"파주시",394201,401718,411348,423321,430781
"이천시",204917,205479,205014,204935,210359
"안성시",181608,182173,181896,180199,182896
"김포시",287432,312305,340310,349990,363443
"화성시",525490,530251,540862,596525,640890
"광주시",275656,286699,298858,312579,327723
"양주시",200310,199143,202072,205184,205513
"포천시",157559,156603,155798,155192,154763
"여주시",-,109343,110386,111033,111563
"여주군",109550,-,-,-,-
"연천군",45599,45610,45363,45725,45907
"가평군",60794,61017,61213,62008,62448
"양평군",102193,103620,105379,108316,111367
"강원도",1538630,1542263,1544442,1549507,1550806
"춘천시",273364,274455,275791,277997,280707
"원주시",323885,324837,327292,332995,337979
"강릉시",217741,216806,215807,214560,213846
"동해시",93897,95143,94562,93895,93297
"태백시",49493,48794,48258,47501,47070
"속초시",83579,83109,82432,81992,81793
"삼척시",72463,73023,72314,70839,69599
"홍천군",69727,70638,70451,70336,70076
"횡성군",44615,44937,45373,45777,45991
"영월군",40155,40150,40191,40216,40073
"평창군",43627,43666,43660,43500,43318
"정선군",39915,39985,39425,39197,38718
"철원군",47968,47473,47590,48799,48013
"화천군",25020,25079,27143,27020,26264
"양구군",22799,23594,23888,24089,24010
"인제군",32456,32517,32475,33255,32720
"고성군",30124,30398,30269,30060,30114
"양양군",27802,27659,27521,27479,27218
"충청북도",1565628,1572732,1578933,1583952,1591625
"청주시",666852,672904,831521,831912,835197
"상당구",240433,246128,179792,176424,173701
"흥덕구",426419,426776,252027,253426,253563
"충주시",208447,208115,208527,207913,208350
"제천시",137521,137204,136805,136138,136517
"청원군",154780,155002,-,-,-
"보은군",34438,34318,34240,34296,34221
"옥천군",53244,52763,52469,52404,52267
"영동군",50663,50539,50803,50693,50552
"증평군",34279,34546,34771,36671,37308
"진천군",63458,64606,65174,67981,69950
"괴산군",37713,38059,38351,38787,38973
"음성군",92980,93505,95324,96396,97787
"단양군",31253,31171,30948,30761,30503
"충청남도",2028777,2047631,2062273,2077649,2096727
"당진시",155104,159615,162844,165122,166630
"천안시",581988,591089,598346,605776,617955
"동남구",257908,260575,261768,261474,258919
"서북구",324080,330514,336578,344302,359036
"공주시",117298,116369,113621,111261,109931
"보령시",105559,104938,104321,104754,103873
"아산시",280490,287073,293954,297737,302929
"서산시",163315,165837,167611,170099,170788
"논산시",126653,125844,124784,124232,123213
"계룡시",41550,40957,40552,41730,42634
"금산군",55715,55441,55166,54879,54612
